Customer Name,Customer #,Invoice #,Invoice Amount,Due Date,Predicted Payment Date
BJ'S  trust,200726979,1930803702,425.26,2020-05-06,2020-05-07
SA foundation,200759878,1930857092,5552.23,2020-05-21,2020-05-22
WAL-MAR,200769623,1930846710,44570.73,2020-05-17,2020-05-18
DOT foundation,200705742,1930582253,5228.8,2020-03-14,2020-03-15
PUBLI corp,200707822,1930794100,95585.8,2020-04-30,2020-05-01
SO in,140104440,2960628284,11792.27,2020-04-27,2020-04-29
ASSOCIAT llc,200772670,1930685862,110077.28,2020-04-06,2020-03-11
SA trust,200759878,1930720998,32692.86,2020-04-17,2020-04-18
WINC systems,200706844,1930760349,4250.11,2020-04-22,2020-04-23
BJ'S  systems,200726979,1930710442,571.15,2020-04-11,2020-04-12
WAL-MAR,200769623,1930842271,77.86,2020-05-14,2020-05-15
BURR llc,200555117,1930846711,57492.84,2020-05-18,2020-05-19
C&S WH systems,200762301,1930870827,23781.78,2020-05-22,2020-05-23
CUSTOM associates,200847305,1930759918,55177.2,2020-04-19,2020-04-20
WAKE associates,200704858,1930670269,8231.52,2020-05-24,2020-05-25
WAL-MAR associates,200769623,1930747152,8857.27,2020-04-19,2020-04-20
SMITH'S us,200466603,1930642920,17200.99,2020-03-28,2020-03-29
ALBERT,200881076,1930779286,105122.78,2020-04-28,2020-04-29
ASSOCIAT,200772670,1930787166,3682.5,2020-04-30,2020-04-04
WAL-MAR llc,200769623,1930692995,21102.41,2020-04-07,2020-04-08
SUPE corporation,200936373,1930692792,10953.63,2020-04-08,2020-04-09
KROGE us,200776463,1930846973,53859.13,2020-05-18,2020-05-19
SUPE associates,200936373,1930711425,10368.26,2020-04-11,2020-04-12
WAL-MAR llc,200769623,1930847500,52356.47,2020-05-16,2020-05-17
WAL-MAR us,200769623,1930808453,12843.32,2020-05-08,2020-05-09
RESTA corporation,200974851,1930767357,1611.47,2020-04-23,2020-04-24
BJ'S  in,200726979,1930587816,330.15,2020-03-18,2020-03-19
SA trust,200729942,1930647127,46689.53,2020-05-17,2020-05-18
QUI llc,200742791,1930630410,23293.04,2020-03-25,2020-03-26
WAL-MAR corporation,200769623,1930758287,16664.08,2020-04-23,2020-04-24
WAL-MAR in,200769623,1930863008,710.89,2020-05-22,2020-05-23
WAL-MAR llc,200769623,1930767152,1428.1,2020-04-24,2020-04-25
WAL-MAR us,200769623,1930809430,29300.54,2020-05-08,2020-05-09
KEHE  foundation,200760666,1930668397,6019.58,2020-04-07,2020-04-08
US  us,200943275,1930798229,35092.76,2020-05-02,2020-05-03
WAL-MAR trust,200769623,1930764240,8447.49,2020-04-26,2020-04-27
DEMOU foundation,200793088,1930620405,101675.41,2020-03-24,2020-03-25
C&S WH,200762301,1930843113,1677.5,2020-05-16,2020-05-17
BI MA co,200784454,1930598558,66491.68,2020-03-20,2020-03-21
AM us,200418007,1930821623,19454.4,2020-05-14,2020-05-15
SUPE in,200936373,1930752138,291.73,2020-04-23,2020-04-24
QUI systems,200742791,1930747137,618.53,2020-04-24,2020-04-25
OK trust,200739534,1930729294,71226.5,2020-04-16,2020-04-17
WAL-MAR,200769623,1930597856,52715.79,2020-03-18,2020-03-19
COAS systems,200337148,1930833256,3062.13,2020-05-13,2020-05-14
PARAM associates,140103335,1991841604,1067.58,2020-04-21,2020-05-01
SA foundation,200759878,1930661293,10469.17,2020-04-04,2020-04-05
BOZZU corp,200779906,1930605494,178378.15,2020-03-20,2020-03-21
WAL-MAR corporation,200769623,1930885396,21803.58,2020-05-27,2020-05-28
DEC co,200416837,1930813139,35.4,2020-05-09,2020-06-06
JRD foundation,200781803,1930645641,18539.43,2020-03-28,2020-03-29
WAL-MAR corporation,200769623,1930724018,2352.97,2020-04-16,2020-04-17
WAL-MAR systems,200769623,1930745547,5287.08,2020-04-19,2020-04-20
FR in,200705372,1930788225,69238.62,2020-05-01,2020-05-02
WAL-MAR associates,200769623,1930716897,41252.24,2020-04-15,2020-04-16
C&S WH us,200762301,1930698632,2804.26,2020-04-09,2020-04-10
MID MO trust,200723794,1930582432,21630.36,2020-03-14,2020-03-15
PUBLI us,200707822,1930579975,177995.3,2020-03-16,2020-03-17
MDV/ systems,200792734,1930785386,78403.12,2020-04-29,2020-04-30
WAKE foundation,200704858,1930835282,17464.47,2020-05-16,2020-05-17
DELHAIZE trust,100031704,1930644270,110068.9,2020-03-27,2020-03-28
WAL-M associates,140106408,2960630502,44305.56,2020-05-03,2020-05-05
WAL-MAR systems,200769623,1930675616,16497.3,2020-04-05,2020-04-06
KROG corp,200749782,1930858971,55167.68,2020-05-20,2020-05-21
PEA systems,200455322,1930715995,31675.66,2020-05-01,2020-05-02
WAL-MAR in,200769623,1930728193,4341.39,2020-04-17,2020-04-18
OK us,200739534,1930646731,96361.76,2020-03-28,2020-03-29
WAL-MAR systems,200769623,1930587030,11110.46,2020-03-17,2020-03-18
FOODL associates,200508557,1930738992,903.72,2020-04-25,2020-04-26
FLANAG trust,140104392,2960621110,3912.06,2020-03-24,2020-03-26
WAL-MAR llc,200769623,1930598069,41908.98,2020-03-21,2020-03-22
SAFEW systems,200772595,1930725734,26416.54,2020-04-15,2020-04-16
MBM/PF foundation,200978899,1930819514,49462.76,2020-05-08,2020-05-09
SUPE us,200936373,1930851948,93328.57,2020-05-19,2020-05-20
ATLANT in,140106293,2960616793,178.01,2020-03-25,2020-03-27
SMART &,200707741,1930683233,79754.22,2020-04-05,2020-04-06
DEF. F associates,100044041,1930857720,1413.82,2020-05-24,2020-06-21
PEA trust,100024776,1930571411,5285,2020-04-07,2020-04-08
WAL-MAR in,200769623,1930753405,4720.02,2020-04-22,2020-04-23
BJ'S  corp,200726979,1930646077,990.51,2020-03-26,2020-03-27
WAL-MAR foundation,200769623,1930621495,226.4,2020-03-23,2020-03-24
PERFOR us,200722444,1930711973,55306.69,2020-04-14,2020-04-15
STATER  in,200743996,1930627208,59593.02,2020-03-26,2020-03-27
KROGER us,200748108,1930793191,40383.08,2020-05-01,2020-05-02
WAL-MAR corporation,200769623,1930673259,1322.22,2020-04-04,2020-04-05
C&S WH associates,200762301,1930800639,115850.54,2020-05-03,2020-05-04
SUPE corp,200793568,1930833703,440.45,2020-05-15,2020-05-16
WAL-MAR corp,200769623,1930716898,6532.6,2020-04-15,2020-04-16
LOB foundation,140104409,2960618285,72466.67,2020-03-15,2020-03-17
COSTCO,140104429,2960616991,40270.86,2020-03-12,2020-03-14
KROG trust,200749782,1930688335,2646.76,2020-04-07,2020-04-08
COST systems,200794332,1930603616,2466.86,2020-03-20,2020-03-21
MRS GR foundation,200861551,1930876169,19769.7,2020-05-28,2020-05-29
C&S WH foundation,200762301,1930688588,41419.88,2020-04-09,2020-04-10
WAL-MAR trust,200769623,1930828060,498.03,2020-05-13,2020-05-14
WAL-MAR,200769623,1930729246,30910.4,2020-04-16,2020-04-17
CHENS E llc,100021489,2960632823,13440,2020-05-16,2020-05-18
WAL-MAR llc,200769623,1930598743,21541.95,2020-03-20,2020-03-21
W LEE  corporation,200737918,1930632864,2678.19,2020-03-27,2020-03-28
TARG co,200744019,1930828192,37712.64,2020-05-12,2020-05-13
WAL-MAR corp,200769623,1930747132,45155.96,2020-04-21,2020-04-22
FO corporation,200748335,1930685952,93221.22,2020-04-12,2020-04-13
AMAZO systems,100030194,2960623236,154203.16,2020-04-03,2020-04-05
SA corp,200759878,1930788766,13861.93,2020-05-02,2020-05-03
COST corporation,200794332,1930578025,7739.39,2020-03-13,2020-03-14
GRIFF corp,200255873,1930617200,5961.4,2020-06-09,2020-06-07
WAL-M corp,140106408,2960617827,81447.49,2020-03-11,2020-03-13
SUPE associates,200793568,1930793056,19269.36,2020-05-01,2020-05-02
SYSC llc,140105686,2960628769,63784.47,2020-04-30,2020-05-02
WAL-MAR in,200769623,1930666918,42954.13,2020-04-02,2020-04-03
WAL-MAR associates,200769623,1930713160,67295,2020-04-13,2020-04-14
C&S WH corporation,200762301,1930698635,4041.35,2020-04-10,2020-04-11
SUPERB,200132251,1930685462,8946.02,2020-04-08,2020-04-09
WAL-MAR associates,200769623,1930870609,8985.43,2020-05-22,2020-05-23
BEN E us,200980828,1930577195,50954.67,2020-03-19,2020-03-20
MDV/ llc,200792734,1930582287,38830.28,2020-03-15,2020-03-16
BJ'S  corporation,200726979,1930760950,55.21,2020-04-24,2020-04-25
WAL-MAR llc,200769623,1930717761,35895.23,2020-04-13,2020-04-14
WAL-MAR in,200769623,1930768057,27377.58,2020-04-26,2020-04-27
MCLA co,100029855,1930599407,2839.3,2020-03-26,2020-03-27
MEIJ corporation,200780383,1930708804,72343.1,2020-04-10,2020-04-11
WAL-MAR llc,200769623,1930808408,388.29,2020-05-06,2020-05-07
C&S WH co,200762301,1930705750,55624.53,2020-04-11,2020-04-12
J  us,200790748,1930817605,5953.87,2020-05-14,2020-05-15
GROC corporation,200915438,1930858375,18424,2020-05-21,2020-05-22
WAL-MAR us,200769623,1930890344,11078.13,2020-05-27,2020-05-28
DELHAIZE systems,100031704,1930718506,83600.67,2020-04-13,2020-04-14
WAL-MAR associates,200769623,1930686283,55254.36,2020-04-07,2020-04-08
C&S WH foundation,200762301,1930770680,65168.72,2020-04-25,2020-04-26
WEIS,200771157,1930860280,46761.58,2020-05-22,2020-05-23
WAL-MAR corporation,200769623,1930653293,7047.59,2020-04-01,2020-04-02
SUPE co,200793568,1930657243,8844.35,2020-03-31,2020-04-01
MEIJ corp,200780383,1930733907,62464.03,2020-04-17,2020-04-18
ASSOCIAT associates,200772670,1930780192,53206.65,2020-04-27,2020-04-01
THE  corporation,140106181,2960619126,11410.88,2020-03-24,2020-04-03
WAL-MAR,200769623,1930654616,14948.52,2020-03-31,2020-04-01
WAL-MAR us,200769623,1930580763,45568.78,2020-03-14,2020-03-15
WAL-MAR co,200769623,1930636668,21732.18,2020-03-27,2020-03-28
WAL-MAR us,200769623,1930738935,15384.31,2020-04-19,2020-04-20
WAL-MAR systems,200769623,1930655003,5791.09,2020-03-31,2020-04-01
WAL-MAR,200769623,1930730506,32298.87,2020-04-17,2020-04-18
WAL-MAR co,200769623,1930651701,42762.05,2020-03-28,2020-03-29
WAL-MAR corporation,200769623,1930635609,7438.3,2020-03-26,2020-03-27
MITCH foundation,200799342,1930623872,3735.62,2020-03-24,2020-03-25
LABAT trust,200770567,1930727975,50527.1,2020-04-18,2020-04-19
WAL-MAR associates,200769623,1930829384,98.1,2020-05-13,2020-05-14
SA corporation,200759878,1930614073,9923.14,2020-03-22,2020-03-23
SA llc,200759878,1930824676,6557.67,2020-05-11,2020-05-12
DOLLA in,200148860,1930855795,61332.89,2020-05-20,2020-05-21
BJ'S,200726979,1930793458,1242.52,2020-05-01,2020-05-02
ASSOCIAT foundation,200772670,1930594690,39335.34,2020-03-18,2020-02-21
SUPE associates,200793568,1930796726,884.52,2020-05-08,2020-05-09
ALBER associates,200750051,1930705108,101820.06,2020-04-09,2020-04-10
WAL-MAR us,200769623,1930630521,11384.14,2020-03-26,2020-03-27
WAL-M in,140106408,2960621942,83004.43,2020-03-29,2020-03-31
WAL-MAR llc,200769623,1930773390,45802.34,2020-04-25,2020-04-26
COSTCO co,140104429,2960630310,33098.1,2020-05-03,2020-05-05
WAL-MAR corp,200769623,1930671857,54491.03,2020-04-03,2020-04-04
WAL-MAR llc,200769623,1930809254,1898.2,2020-05-08,2020-05-09
BJ'S  corporation,200726979,1930809474,132.97,2020-05-06,2020-05-07
KROGER foundation,200743123,1930584907,135544.66,2020-03-16,2020-03-17
WAL-MAR corporation,200769623,1930831486,3403.8,2020-05-12,2020-05-13
AM,200418007,1930781140,113.92,2020-05-01,2020-05-02
AL,200739006,1930693637,30906.53,2020-04-09,2020-04-10
WAL-MAR in,200769623,1930843636,42786.83,2020-05-16,2020-05-17
WAL-MAR corporation,200769623,1930709735,2881.82,2020-04-12,2020-04-13
WAL-MAR trust,200769623,1930809455,61308.68,2020-05-07,2020-05-08
BJ'S  in,200726979,1930637739,476.92,2020-03-27,2020-03-28
ASSOCIAT systems,200772670,1930817065,49906.85,2020-05-07,2020-04-11
SA us,200759878,1930581173,18084.61,2020-05-04,2020-05-05
RA associates,200704045,1930583663,8214.22,2020-03-14,2020-03-15
WAL-MAR co,200769623,1930609600,28696.73,2020-03-20,2020-03-21
DEC us,200020431,1930604771,113.76,2020-03-24,2020-04-21
MCL corp,200799367,1930837373,568.72,2020-05-15,2020-05-16
WAL-MAR us,200769623,1930857871,7941.38,2020-05-21,2020-05-22
MID MO foundation,200723794,1930658237,65732.4,2020-04-01,2020-04-02
US  associates,200357714,1930612808,40640.17,2020-03-21,2020-03-22
BAUGH SU corp,200434439,1930597496,41049.8,2020-03-18,2020-03-19
WAL-MAR systems,200769623,1930660557,6058.71,2020-04-02,2020-04-03
WINC trust,200706844,1930709453,6242.34,2020-04-15,2020-04-16
BJ'S  co,200726979,1930753647,492.17,2020-04-22,2020-04-23
SUPE llc,200793568,1930801980,72796.26,2020-05-05,2020-05-06
AMAZO us,100030194,2960627100,16092.56,2020-04-17,2020-04-19
LOB us,140104409,2960618590,88929.99,2020-03-26,2020-03-28
CEDA foundation,200417804,1930875078,47321.07,2020-05-23,2020-05-24
WAL-MAR corporation,200769623,1930665476,3270.04,2020-04-02,2020-04-03
WAL-MAR corporation,200769623,1930581565,43688.07,2020-03-14,2020-03-15
C&S WH in,200762301,1930827258,24656.24,2020-05-12,2020-05-13
WAL-MAR co,200769623,1930718410,5380.16,2020-04-14,2020-04-15
PIGGLY systems,200793122,1930666674,27011.98,2020-04-03,2020-04-04
SA associates,200759878,1930763874,43045.23,2020-04-24,2020-04-25
SHAWS  in,200275115,1930665635,152775.54,2020-04-03,2020-04-04
WINC,200706844,1930814302,38899.53,2020-05-08,2020-05-09
BURR us,200555117,1930795220,75164.94,2020-05-05,2020-05-06
AL co,200739006,1930716883,17446.36,2020-04-14,2020-04-15
SMITH'S corp,200466603,1930778792,100370.77,2020-04-28,2020-04-29
TARG co,200744019,1930802505,8864.56,2020-05-07,2020-05-08
WAL-MAR llc,200769623,1930666109,1356.55,2020-04-02,2020-04-03
SMITH'S trust,200820380,1930685888,101185.05,2020-04-07,2020-04-08
ELLIOT associates,100053411,2960630676,381,2020-05-10,2020-05-12
WAL-MAR co,200769623,1930752521,23855.01,2020-04-21,2020-04-22
BJ'S  corporation,200726979,1930801026,158.34,2020-05-03,2020-05-04
MDV/ corporation,200792734,1930781646,22373.8,2020-04-28,2020-04-29
LOB,140104409,2960618139,219.41,2020-03-13,2020-03-15
WAL-MAR systems,200769623,1930683576,6552.13,2020-04-05,2020-04-06
DEC in,200803720,1930818058,6052.84,2020-04-23,2020-05-21
LA  trust,200228629,1930904976,39911.74,2020-05-30,2020-05-31
AM associates,200418007,1930813764,5831.96,2020-05-12,2020-05-13
BJ'S,200726979,1930834509,892.68,2020-05-14,2020-05-15
WAL-MAR,200769623,1930659379,1329.23,2020-04-01,2020-04-02
COST in,200794332,1930688564,33931.57,2020-04-11,2020-04-12
SAFEW us,200772595,1930622286,156254.29,2020-03-23,2020-03-24
RA foundation,200704045,1930608345,72405.04,2020-03-22,2020-03-23
DEMOU,200793088,1930691939,133469.68,2020-04-09,2020-04-10
WAL-MAR us,200769623,1930731971,629.67,2020-04-18,2020-04-19
DECA us,200353024,1930762704,11884.41,2020-04-11,2020-05-09
BJ'S  corporation,200726979,1930724148,414.95,2020-04-15,2020-04-16
COST foundation,200794332,1930690870,66559.99,2020-04-08,2020-04-09
SAFEW trust,200772595,1930721373,9922.04,2020-04-16,2020-04-17
NASS corp,100043921,1930720643,30137.63,2020-04-15,2020-04-16
TARG llc,200744019,1930819819,807.27,2020-05-10,2020-05-11
WAKE in,200704858,1930720465,9207.28,2020-04-15,2020-04-16
SA corp,200759878,1930570447,34116.68,2020-03-14,2020-03-15
LOB,140104409,2960623250,100364.78,2020-04-04,2020-04-06
M B  associates,200741174,1930673837,17620.51,2020-04-03,2020-04-04
PUBLI foundation,200707822,1930837539,4499.75,2020-05-14,2020-05-15
SYSCO F foundation,200718130,1930693264,7344.72,2020-04-08,2020-04-09
BJ'S,200726979,1930587098,642.35,2020-03-18,2020-03-19
WAL-MAR,200769623,1930605285,62372.82,2020-03-21,2020-03-22
AFFI systems,200661137,1930740186,22533.63,2020-04-21,2020-04-22
WAL-MAR,200769623,1930703872,31173.98,2020-04-14,2020-04-15
FAMILY trust,200786288,1930780319,26728.06,2020-04-28,2020-04-29
PUBLI foundation,200707822,1930586721,2891.62,2020-03-17,2020-03-18
AM trust,200418007,1930822652,5374.34,2020-05-15,2020-05-16
WAL-MAR in,200769623,1930679090,33806.44,2020-04-05,2020-04-06
WAL-MAR trust,200769623,1930578874,60493.1,2020-03-13,2020-03-14
WAL-MAR in,200769623,1930680967,15218.36,2020-04-05,2020-04-06
SA corp,200759878,1930585369,27695.49,2020-03-16,2020-03-17
WINC associates,200706844,1930866659,54571.93,2020-05-21,2020-05-22
WINC,200706844,1930767814,1584.83,2020-04-23,2020-04-24
WAL-MAR associates,200769623,1930832313,12009.39,2020-05-13,2020-05-14
WAL-MAR llc,200769623,1930659558,1599.46,2020-04-01,2020-04-02
WAL-MAR llc,200769623,1930801314,12219.74,2020-05-05,2020-05-06
PUBLI in,200707822,1930618583,25374.24,2020-03-22,2020-03-23
UTZ Q,200307138,1930638422,58926,2020-04-12,2020-04-13
WAL-MAR in,200769623,1930725607,55214.25,2020-04-15,2020-04-16
SA systems,200759878,1930782164,26588.38,2020-04-29,2020-04-30
BROOKS in,200743129,1930586995,15920.71,2020-03-18,2020-03-19
H E BUT in,200761734,1930586694,16242.83,2020-05-06,2020-05-07
DOLLA trust,200148860,1930685995,9525.6,2020-04-07,2020-04-08
WAL-MAR foundation,200769623,1930784030,13924.71,2020-04-30,2020-05-01
DOT in,200705742,1930598400,1802.6,2020-03-23,2020-03-24
DOT us,200705742,1930618298,74011.01,2020-04-10,2020-04-11
DEC corporation,200020431,1930860803,380.26,2020-05-24,2020-06-21
WAL-MAR corp,200769623,1930834481,3403.8,2020-05-16,2020-05-17
MCL us,200799367,1930821407,17098.7,2020-05-13,2020-05-14
ALBER co,200014556,1930797128,28374.91,2020-05-03,2020-05-04
WAL-MAR systems,200769623,1930723235,15278.22,2020-04-17,2020-04-18
WAL-MAR corporation,200769623,1930672892,69490.24,2020-04-06,2020-04-07
WAL-MAR foundation,200769623,1930581439,52927.45,2020-03-16,2020-03-17
JET llc,200152991,1930672942,16170.08,2020-04-04,2020-04-05
PUBLI systems,200707822,1930592958,95481.76,2020-03-18,2020-03-19
WAKE us,200704858,1930831679,128123.27,2020-05-14,2020-05-15
WAL-M in,140106408,2960626881,6403.64,2020-04-22,2020-05-02
DEC foundation,200803720,1930819365,532.12,2020-05-09,2020-06-06
WAL-MAR trust,200769623,1930710064,58230.76,2020-04-10,2020-04-11
WAL-MAR us,200769623,1930709700,8558.36,2020-04-11,2020-04-12
RA systems,200704045,1930592853,17455.74,2020-03-18,2020-03-19
WAL-MAR corporation,200769623,1930798866,48483.48,2020-05-05,2020-05-06
TARG us,200744019,1930846466,1851.37,2020-05-17,2020-05-18
WAL-MAR corp,200769623,1930783563,44176.6,2020-05-02,2020-05-03
DOLLA associates,200148860,1930637801,78958.04,2020-03-25,2020-03-26
WAL-MAR co,200769623,1930685731,34669.01,2020-04-07,2020-04-08
WAL-MAR corp,200769623,1930716327,22072.36,2020-04-13,2020-04-14
PERISH llc,200526831,1930581472,77614.82,2020-03-14,2020-03-15
TARG co,200744019,1930853186,1717.24,2020-05-19,2020-05-20
M foundation,200793830,1930671104,15094.61,2020-04-02,2020-04-03
AM in,200418007,1930761020,3871.12,2020-04-23,2020-04-24
SYSC us,140105686,2960629245,15547.05,2020-05-03,2020-05-05
TARG associates,200744019,1930760998,39460.97,2020-04-26,2020-04-27
TARG corporation,200744019,1930751222,36882.5,2020-04-20,2020-04-21
SOB in,140104249,2960617908,175815.63,2020-03-19,2020-03-21
SMITH'S foundation,200466603,1930778791,107856.32,2020-04-27,2020-04-28
C&S WH corp,200762301,1930665969,5295.42,2020-05-21,2020-05-22
C&S WH co,200762301,1930796936,55624.53,2020-05-02,2020-05-03
DEC trust,200803720,1930700005,7497.6,2020-03-26,2020-04-23
AM corporation,200418007,1930592656,33.6,2020-05-07,2020-05-08
AM systems,200418007,1930659638,59379.79,2020-04-01,2020-04-02
WAL-MAR us,200769623,1930646764,30631.84,2020-03-28,2020-03-29
COST llc,200794332,1930630891,8793.09,2020-03-27,2020-03-28
BJ'S  llc,200726979,1930655471,625.83,2020-03-30,2020-03-31
WAL-MAR associates,200769623,1930609271,2373.96,2020-03-20,2020-03-21
F &  us,200728652,1930688456,21486.18,2020-04-08,2020-04-09
C&S WH,200762301,1930716734,24636.5,2020-04-13,2020-04-14
SUPE us,200936373,1930714204,91189.27,2020-04-13,2020-04-14
KROGE associates,200776463,1930849841,16818.66,2020-05-16,2020-05-17
H.J. HEI systems,CC3411,1991840222,17934.78,2020-04-19,2020-04-29
WAL-MAR,200769623,1930669978,25677.24,2020-04-03,2020-04-04
WAL-MAR llc,200769623,1930685713,11859.18,2020-04-09,2020-04-10
SUPE us,200936373,1930875656,84648.3,2020-05-22,2020-05-23
M  systems,200424504,1930829563,852.63,2020-04-15,2020-04-16
H E BUT,200761734,1930669581,58248.2,2020-04-03,2020-04-04
WAL-MAR co,200769623,1930611411,9961.04,2020-03-21,2020-03-22
DELHAIZE us,100031704,1930774878,75700.91,2020-06-17,2020-06-18
WAL-MAR trust,200769623,1930571874,27742.97,2020-03-14,2020-03-15
WAL-MAR,200769623,1930719143,8684.81,2020-04-14,2020-04-15
KROG foundation,200749782,1930682344,40054.28,2020-04-07,2020-04-08
DELHAIZE foundation,100031704,1930668097,112444.3,2020-04-02,2020-04-03
WAL-MAR corp,200769623,1930593224,2909.19,2020-03-18,2020-03-19
MCLANE in,200126819,1930605835,28481.92,2020-03-20,2020-03-21
WAL-MAR systems,200769623,1930892300,8606.27,2020-05-27,2020-05-28
RA corporation,200704045,1930855302,58200.39,2020-05-20,2020-05-21
JET llc,200152991,1930635111,876.02,2020-03-25,2020-03-26
WAL-MAR llc,200769623,1930666827,28915.21,2020-04-02,2020-04-03
WAL-MAR llc,200769623,1930846759,7800.15,2020-05-18,2020-05-19
DECA corporation,200353024,1930877452,9512.76,2020-05-11,2020-06-08
WAL-MAR co,200769623,1930687032,80168.78,2020-04-08,2020-04-09
AFFILI us,200779051,1930637550,20682.56,2020-03-28,2020-03-29
DOT,200705742,1930642790,29927.43,2020-04-13,2020-04-14
WAL-MAR corporation,200769623,1930857099,29085.36,2020-05-20,2020-05-21
WAL-M us,140106408,2960624209,17620.2,2020-04-03,2020-04-05
WAL-MAR corporation,200769623,1930668395,9582.29,2020-04-05,2020-04-06
WAL-MAR associates,200769623,1930683154,12321.36,2020-04-06,2020-04-07
WAL-MAR corp,200769623,1930732334,16431.52,2020-04-19,2020-04-20
WINC systems,200706844,1930731329,32400.43,2020-04-16,2020-04-17
LOB systems,140104409,2960631541,220893,2020-05-14,2020-05-16
C&S WH co,200762301,1930670960,32253.18,2020-04-04,2020-04-05
DOLLA,200148860,1930753895,7918.86,2020-06-11,2020-06-12
FR corporation,200705372,1930688324,80920,2020-04-09,2020-04-10
TARG us,200744019,1930752496,20080.66,2020-04-21,2020-04-22
LOB co,140104409,2960629006,76075.48,2020-05-03,2020-05-05
BJ'S  corp,200726979,1930780412,202.27,2020-04-21,2020-04-22
DOLLA foundation,200148860,1930804053,36034.6,2020-05-05,2020-05-06
WAL-MAR trust,200769623,1930586262,1414.68,2020-03-17,2020-03-18
WAL-MAR in,200769623,1930708347,38135.13,2020-04-11,2020-04-12
WAL-MAR corp,200769623,1930738372,34359.26,2020-04-18,2020-04-19
GROC associates,200915438,1930756522,10424.14,2020-04-22,2020-04-23
COST co,200794332,1930668483,14204.38,2020-04-03,2020-04-04
H E BUT llc,200761734,1930764632,32533.8,2020-06-12,2020-06-13
SA,200759878,1930858074,70594.63,2020-05-21,2020-05-22
C&S WH,200762301,1930715718,5593.78,2020-06-02,2020-06-03
DEC llc,200803720,1930818788,2214.56,2020-05-09,2020-06-06
FAMILY corp,200786288,1930611463,82202.04,2020-03-22,2020-03-23
MARKPOL corporation,100049962,1930823245,10377.45,2020-05-09,2020-05-10
WAL-MAR co,200769623,1930724469,26231.04,2020-04-17,2020-04-18
WAL-MAR corp,200769623,1930768605,34646.22,2020-04-24,2020-04-25
WAL-MAR us,200769623,1930690050,26153.34,2020-04-10,2020-04-11
DOLLA corp,200148860,1930571469,83588.36,2020-03-13,2020-03-14
DEC llc,200803720,1930846385,3468.14,2020-04-26,2020-05-24
MBM/PF in,200978899,1930576823,27081.6,2020-04-05,2020-04-06
DEC foundation,200803720,1930692356,515.94,2020-04-08,2020-05-06
COST llc,200794332,1930783435,55006.66,2020-04-30,2020-05-01
WAL-MAR associates,200769623,1930676910,15869.81,2020-04-05,2020-04-06
SAFEW corporation,200772595,1930753423,54986,2020-04-22,2020-04-23
BURR us,200555117,1930745599,110502.46,2020-04-19,2020-04-20
MEIJ associates,200780383,1930705076,83969.18,2020-04-10,2020-04-11
AM co,200418007,1930852787,769.08,2020-07-09,2020-07-10
WAL-MAR systems,200769623,1930782958,8058.94,2020-04-30,2020-05-01
AM systems,200418007,1930760899,60.42,2020-04-26,2020-04-27
WAL-MAR,200769623,1930599771,3814.25,2020-03-20,2020-03-21
WAL-MAR llc,200769623,1930653461,206.05,2020-05-20,2020-05-21
DOT co,200705742,1930670797,37922.89,2020-04-04,2020-04-05
SUPE co,200793568,1930817190,4383.72,2020-05-09,2020-05-10
SO in,140104440,2960629935,2652.1,2020-05-09,2020-05-11
DEMOU associates,200793088,1930857502,37390.18,2020-05-21,2020-05-22
MEIJ in,200780383,1930843282,30839.56,2020-05-15,2020-05-16
BROOKS llc,200743129,1930831316,57253.11,2020-05-12,2020-05-13
ASSOCIAT,200772670,1930715953,19571.02,2020-04-14,2020-04-05
C&S WH llc,200762301,1930794900,45610.74,2020-05-02,2020-05-03
BJ'S  llc,200726979,1930774727,505.22,2020-04-24,2020-04-25
GROC systems,200915438,1930565219,6293.76,2020-03-14,2020-03-15
WAL-MAR systems,200769623,1930747511,76799.67,2020-04-18,2020-04-19
WAL-MAR foundation,200769623,1930710381,10636.73,2020-04-13,2020-04-14
PERFOR in,200744707,1930627759,22380.84,2020-03-25,2020-03-26
WAL-MAR co,200769623,1930606303,1504.87,2020-03-21,2020-03-22
DOLLA foundation,200148860,1930832429,12729.61,2020-05-13,2020-05-14
SA associates,200759878,1930581866,33418.06,2020-03-15,2020-03-16
SA corp,200759878,1930586820,12765.6,2020-05-07,2020-05-08
COSTCO foundation,140104429,2960626258,46630.08,2020-04-19,2020-04-21
BEN  systems,200725421,1930582688,28661.77,2020-03-17,2020-03-18
C&S WH foundation,200762301,1930705058,24748.39,2020-04-11,2020-04-12
SMITH'S associates,200820380,1930844462,29629.36,2020-05-16,2020-05-17
PEA associates,200455322,1930572470,54374.67,2020-03-29,2020-03-30
WAL-MAR in,200769623,1930801782,14393.46,2020-05-06,2020-05-07
WAL-MAR llc,200769623,1930668377,54996.56,2020-04-03,2020-04-04
WAL-MAR llc,200769623,1930699552,15628.19,2020-04-10,2020-04-11
DECA,200592182,1930822859,4431.92,2020-04-26,2020-05-24
LOB foundation,140104409,2960621742,100422.06,2020-04-06,2020-04-08
DOT corp,200705742,1930683140,22192.06,2020-04-25,2020-04-26
ASSOCIAT trust,200772670,1930799529,127326.82,2020-05-02,2020-04-06
SOUTH foundation,200792277,1930610253,8717.79,2020-03-20,2020-03-21
WAL-MAR llc,200769623,1930861309,20927.32,2020-05-20,2020-05-21
J & J  us,200382900,1930828768,129652.56,2020-05-12,2020-05-13
